"YEAR","CIRI","COW","genocide","rummel","massive_repression","executions","killing","genocide","rummel","massive_repression","executions","killing","V6"
1949,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.45014950073835
1950,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.5337858869789
1951,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.58468284865807
1952,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.61676012896854
1953,NA,2,NA,1,0,1,NA,NA,1,0,1,NA,-1.65346370676394
1954,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.62898933339505
1955,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.61406420206345
1956,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.59553022248515
1957,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.58456176923989
1958,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57954920892513
1959,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57567966010165
1960,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57488376863728
1961,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57432987324438
1962,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.571637271917
1963,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.5704830780141
1964,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.56624102481271
1965,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.55935822592264
1966,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.54631751944145
1967,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.51868382551394
1968,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.46921885569009
1969,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.36868604288033
1970,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.16643096853985
1971,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.746381898455918
1972,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.469250035961805
1973,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.257065041875564
1974,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.0895046801855016
1975,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.0541824159139489
1976,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.180429241970462
1977,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.292390683318357
1978,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.390323016898667
1979,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.478712410826565
1980,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.551866079370932
1981,662,2,0,0,0,0,NA,0,0,0,0,NA,0.619667923498172
1982,662,2,0,0,0,0,NA,0,0,0,0,NA,0.677851453477752
1983,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.726186279424918
1984,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.767303417155406
1985,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.806686840680106
1986,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.845496719177418
1987,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.879290460955728
1988,662,2,0,NA,0,NA,NA,0,NA,0,NA,NA,0.910881275435989
1989,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0.940602010324347
1990,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0.968866589836087
1991,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.00084601417649
1992,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.02789875996895
1993,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.05514367359771
