"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","V9"
1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.82665283846694
1977,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.95358152954448
1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2.04166656338413
1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2.09686115537992
1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2.13856997418406
1981,662,2,2,2,2,2,1,NA,NA,NA,2,2,2,2,1,NA,NA,NA,2.14612958631533
1982,662,2,2,2,2,2,1,NA,NA,NA,2,2,2,2,1,NA,NA,NA,2.09909015272525
1983,662,2,2,2,2,2,1,NA,NA,NA,2,2,2,2,1,NA,NA,NA,2.0151567758094
1984,662,2,2,2,2,2,1,NA,NA,NA,2,2,2,2,1,NA,NA,NA,1.87786054458201
1985,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,1.64071974741303
1986,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,1.47915185135182
1987,662,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,NA,NA,NA,1.38048924688589
1988,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,1.35360454819364
1989,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,1.2930909843396
1990,662,2,2,2,2,2,1,NA,NA,NA,2,2,2,2,1,NA,NA,NA,1.20161362662369
1991,662,2,2,2,2,1,2,NA,NA,NA,2,2,2,1,2,NA,NA,NA,0.925311917536247
1992,662,2,2,2,2,1,2,NA,NA,NA,2,2,2,1,2,NA,NA,NA,0.835673284626957
1993,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,0.946531012378412
1994,662,2,2,2,2,1,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,0.987417013118306
1995,662,2,2,2,2,1,1,NA,NA,5,2,2,2,1,1,NA,NA,5,0.978189996620053
1996,662,2,2,2,2,1,1,NA,NA,5,2,2,2,1,1,NA,NA,5,0.950887316562236
1997,662,2,2,2,2,1,1,NA,NA,5,2,2,2,1,1,NA,NA,5,0.953560332136693
1998,662,2,2,2,2,1,1,NA,NA,6,2,2,2,1,1,NA,NA,6,0.936990958480108
1999,662,2,2,2,2,1,1,NA,NA,6,2,2,2,1,1,NA,NA,6,0.837221661946125
2000,662,2,2,2,2,1,1,NA,NA,6,2,2,2,1,1,NA,NA,6,0.651104271347539
2001,662,2,2,2,0,1,2,NA,NA,6,2,2,0,1,2,NA,NA,6,0.284017149669876
2002,662,2,2,2,1,1,2,NA,NA,6,2,2,1,1,2,NA,NA,6,0.0398875396120251
2003,662,2,2,2,1,1,2,NA,NA,6,2,2,1,1,2,NA,NA,6,-0.183240219910081
2004,662,2,1,1,1,1,3,NA,NA,6,1,1,1,1,3,NA,NA,6,-0.551606566580481
2005,662,2,2,1,1,0,3,NA,NA,6,2,1,1,0,3,NA,NA,6,-0.677503864724457
2006,662,2,2,1,1,0,3,NA,NA,NA,2,1,1,0,3,NA,NA,NA,-0.643796018193853
2007,662,2,2,1,1,1,3,NA,NA,NA,2,1,1,1,3,NA,NA,NA,-0.545396410860287
2008,662,2,2,1,2,1,3,NA,NA,NA,2,1,2,1,3,NA,NA,NA,-0.485616004807687
2009,662,2,2,1,1,1,3,NA,NA,NA,2,1,1,1,3,NA,NA,NA,-0.488495434687347
2010,662,2,2,1,2,1,3,NA,NA,NA,2,1,2,1,3,NA,NA,NA,-0.451703375651727
1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.38296652261939
1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.44096563298111
1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.48945845942302
1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.53676296281323
1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.5746662887068
1981,194,20,2,2,2,2,NA,1,NA,NA,2,2,2,2,NA,1,NA,NA,1.60116874757597
1982,194,20,2,2,2,1,NA,1,NA,NA,2,2,2,1,NA,1,NA,NA,1.5890616504809
1983,194,20,2,2,2,1,1,1,NA,NA,2,2,2,1,1,1,NA,NA,1.67311547519022
1984,194,20,2,2,2,1,1,1,NA,NA,2,2,2,1,1,1,NA,NA,1.79889136301463
1985,194,20,2,2,2,2,NA,1,1,NA,2,2,2,2,NA,1,1,NA,1.96689363328067
1986,194,20,2,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,2.08807699731469
1987,194,20,2,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,2.16394253213831
1988,194,20,2,2,2,2,NA,1,1,NA,2,2,2,2,NA,1,1,NA,2.17494709193402
1989,194,20,2,2,2,2,NA,1,1,NA,2,2,2,2,NA,1,1,NA,2.15033131534383
1990,194,20,2,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,2.06970441119559
1991,194,20,2,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,1.93935908647917
1992,194,20,2,2,2,1,1,1,2,NA,2,2,2,1,1,1,2,NA,1.75301565686074
1993,194,20,2,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,1.78610957227742
1994,194,20,2,2,2,1,1,1,2,NA,2,2,2,1,1,1,2,NA,1.72252504334348
1995,194,20,2,2,2,2,NA,1,2,1,2,2,2,2,NA,1,2,1,1.81443080608769
1996,194,20,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1.94550861803114
1997,194,20,2,2,2,2,NA,1,1,1,2,2,2,2,NA,1,1,1,1.97318164847891
1998,194,20,2,2,2,1,NA,1,1,1,2,2,2,1,NA,1,1,1,1.88611951645703
1999,194,20,2,2,2,2,NA,1,1,1,2,2,2,2,NA,1,1,1,1.82065439888624
2000,194,20,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,2,1.6110842235934
2001,194,20,2,2,2,1,1,1,NA,2,2,2,2,1,1,1,NA,2,1.45136331809682
2002,194,20,2,2,2,1,1,2,NA,1,2,2,2,1,1,2,NA,1,1.30858414649385
2003,194,20,2,2,2,1,1,1,NA,6,2,2,2,1,1,1,NA,6,1.32743959555668
2004,194,20,2,2,2,1,1,1,NA,3,2,2,2,1,1,1,NA,3,1.3071716988887
2005,194,20,2,1,2,1,1,1,NA,1,2,1,2,1,1,1,NA,1,1.19356603348779
2006,194,20,2,1,2,1,1,1,NA,NA,2,1,2,1,1,1,NA,NA,1.10805010225451
2007,194,20,2,1,2,1,2,1,NA,NA,2,1,2,1,2,1,NA,NA,1.01886308197449
2008,194,20,2,1,2,1,2,1,NA,NA,2,1,2,1,2,1,NA,NA,1.04533035216247
2009,194,20,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.24615957100947
2010,194,20,2,1,2,1,1,1,NA,NA,2,1,2,1,1,1,NA,NA,1.19112344710701
1976,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.25122850444505
1977,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.31623388152425
1978,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.36880290042987
1979,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.41437067998403
1980,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.43719411653384
1981,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.44064290875802
1982,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.43387843160883
1983,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.40745769125745
1984,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.36219694869359
1985,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.29896052645598
1986,NA,31,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1.21320249599163
1987,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.33289706974906
1988,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.42430669426804
1989,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.50322160361283
1990,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.52248603147646
1991,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.50213540535091
1992,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.43399922327978
1993,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.33733299096443
