YEAR	CIRI	COW	DISAP	KILL	POLPRIS	TORT	Amnesty	State	hathaway	ITT	genocide	rummel	massive_repression	executions	killing	x.means
1949		2										1	0	0		-1.32603992193575
1950		2										1	0	0		-1.38576838955831
1951		2										1	0	0		-1.42311455127283
1952		2										1	0	0		-1.45167810399758
1953		2										1	0	1		-1.48112326053106
1954		2										1	0	0		-1.45815398503417
1955		2										1	0	0		-1.43839714829002
1956		2									0	1	0	0		-1.41809033041561
1957		2									0	1	0	0		-1.40977317014795
1958		2									0	1	0	0		-1.40392314454241
1959		2									0	1	0	0		-1.4030407555742
1960		2									0	1	0	0		-1.39952458965162
1961		2									0	1	0	0		-1.39819508012229
1962		2									0	1	0	0		-1.39619898367948
1963		2									0	1	0	0		-1.39492728361071
1964		2									0	1	0	0		-1.3931287087847
1965		2									0	1	0	0		-1.38374069592204
1966		2									0	1	0	0		-1.36643405285961
1967		2									0	1	0	0		-1.33279169498329
1968		2									0	1	0	0		-1.2678257364247
1969		2									0	1	0	0		-1.14707085150943
1970		2									0	1	0	0		-0.921978133105738
1971		2									0	0	0	0		-0.513574003310837
1972		2									0	0	0	0		-0.158724699201904
1973		2									0	0	0	0		0.18009724849694
1974		2									0	0	0	0		0.515057838182116
1975		2									0	0	0	0		0.846627855813222
1976		2					1				0	0	0	0		1.17832148184539
1977		2					1				0	0	0	0		1.46015104475647
1978		2					1				0	0	0	0		1.66374421600725
1979		2					1				0	0	0	0		1.82385237237383
1980		2					1				0	0	0	0		1.9576465636448
1981	662	2	2	2	2	2	1				0	0	0	0		2.0439681970036
1982	662	2	2	2	2	2	1				0	0	0	0		2.07774915891525
1983	662	2	2	2	2	2	1				0	0	0			2.06860550650317
1984	662	2	2	2	2	2	1				0	0	0			1.99678079110904
1985	662	2	2	2	2	1	1				0	0	0			1.82104446131834
1986	662	2	2	2	2	1	1				0	0	0			1.69424185158345
1987	662	2	2	2	2	2	2				0	0	0			1.61881390261512
1988	662	2	2	2	2	1	1				0		0			1.60065763491777
1989	662	2	2	2	2	1	1				0				0	1.56028972575029
1990	662	2	2	2	2	2	1				0				0	1.51039166752974
1991	662	2	2	2	2	1	2				0				0	1.29751030730043
1992	662	2	2	2	2	1	2				0				0	1.25260994905241
1993	662	2	2	2	2	1	1				0				0	1.38177732628634
1994	662	2	2	2	2	1	1				0				0	1.46188750215608
1995	662	2	2	2	2	1	1			5	0				0	1.48557921550366
1996	662	2	2	2	2	1	1			5	0				0	1.49418350021789
1997	662	2	2	2	2	1	1			5	0				0	1.52228017640746
1998	662	2	2	2	2	1	1			6	0				0	1.52610896634843
1999	662	2	2	2	2	1	1			6	0				0	1.45736881155767
2000	662	2	2	2	2	1	1			6	0				0	1.29596134783839
2001	662	2	2	2	0	1	2			6	0				0	0.970922685427141
2002	662	2	2	2	1	1	2			6	0				0	0.752862036972758
2003	662	2	2	2	1	1	2			6	0				0	0.56142077674865
2004	662	2	1	1	1	1	3			6	0				0	0.226470786469568
2005	662	2	2	1	1	0	3			6	0				0	0.118040101462009
2006	662	2	2	1	1	0	3				0				0	0.168690161397843
2007	662	2	2	1	1	1	3				0				0	0.281280876346283
2008	662	2	2	1	2	1	3				0				0	0.35822615532883
2009	662	2	2	1	1	1	3				0				0	0.368515105444298
2010	662	2	2	1	2	1	3				0				0	0.411294504943236
1949		20										0	0	0		0.963301775845698
1950		20										0	0	0		1.02983257404215
1951		20										0	0	0		1.08942182544707
1952		20										0	0	0		1.14534689402703
1953		20										0	0	0		1.20426892919207
1954		20										0	0	0		1.25470343573963
1955		20										0	0	0		1.3026101404453
1956		20									0	0	0	0		1.34078102388128
1957		20									0	0	0	0		1.38211568924767
1958		20									0	0	0	0		1.4215089354622
1959		20									0	0	0	0		1.45261115049724
1960		20									0	0	0	0		1.4874824177511
1961		20									0	0	0	0		1.5202342873738
1962		20									0	0	0	0		1.55207089857647
1963		20									0	0	0	0		1.57506915009163
1964		20									0	0	0	0		1.59574209203486
1965		20									0	0	0	0		1.61760155339851
1966		20									0	0	0	0		1.64138689657985
